full_date,date,weekday,time,mood,activities,note_title,note
2024-03-21,March 21,Thursday,3:18 AM,rad,,
2024-03-21,March 21,Thursday,2:28 AM,rad,,
2024-03-19,March 19,Tuesday,10:02 PM,meh,,
2024-03-18,March 18,Monday,4:04 AM,meh,,
2024-03-17,March 17,Sunday,5:57 PM,rad,,
2024-03-17,March 17,Sunday,1:57 PM,meh,,
2024-03-17,March 17,Sunday,1:15 PM,good,,
2024-03-15,March 15,Friday,10:02 AM,rad,,
2024-03-14,March 14,Thursday,7:18 AM,rad,,
2024-03-13,March 13,Wednesday,6:08 PM,rad,,
2024-03-13,March 13,Wednesday,3:48 PM,good,,
2024-03-13,March 13,Wednesday,4:32 AM,rad,,
2024-02-28,February 28,Wednesday,2:37 PM,meh,,
2024-02-17,February 17,Saturday,2:28 PM,awful,,
2024-02-16,February 16,Friday,7:18 AM,good,,
2024-02-15,February 15,Thursday,2:48 PM,bad,,
2024-02-10,February 10,Saturday,11:00 AM,awful,,
2024-02-06,February 6,Tuesday,5:58 AM,rad,happy | excited | grateful | relaxed | sleep early | good sleep | medium sleep | bad sleep | exercise | eat healthy | drink water | movies & tv | reading | relax | fast food | homemade | family | meditation | kindness | listen | give gift | start early | make list | focus | take a break | shopping | cleaning | class | study | homework | exam | group project | sunny | heat | wellness | massage | skin care,
2024-01-28,January 28,Sunday,4:01 AM,meh,,
2024-01-27,January 27,Saturday,7:30 PM,awful,,
2024-01-26,January 26,Friday,8:40 PM,awful,,
2024-01-17,January 17,Wednesday,1:58 AM,rad,happy | excited | tired | good sleep | exercise | eat healthy | drink water | walk | movies & tv | reading | gaming | sport | relax | homemade | family | friends | start early | make list | focus | take a break | shopping | cleaning | cooking | laundry | class | study | homework | exam | group project | rain | heat | wellness | massage | manicure | skin care | spa,
2023-12-17,December 17,Sunday,11:44 AM,meh,stressed | bad sleep | drink water | homemade | family | listen,
2023-12-02,December 2,Saturday,6:03 PM,awful,happy | excited | grateful | relaxed | content | tired | unsure | bored | anxious | angry | stressed | sad | desperate | good sleep | exercise | drink water | walk | relax | fast food | restaurant | no sweets | no soda | friends | meditation | listen | start early | take a break | class | study | homework | group project | sunny | clouds | wind | manicure | skin care,
2023-11-28,November 28,Tuesday,7:02 AM,bad,excited | tired | unsure | bored | anxious | angry | stressed | sad | desperate | bad sleep | eat healthy | drink water | walk | homemade | no sweets | no soda | clouds | wind,
2023-11-17,November 17,Friday,7:00 AM,awful,anxious | angry | stressed | sad | desperate | bad sleep | walk | movies & tv | homemade | no meat | no soda | skin care,
2023-11-15,November 15,Wednesday,9:00 PM,awful,tired | anxious | stressed | sad | bad sleep | walk | homemade | no meat | no sweets | no soda | clouds | wind | skin care,
2023-11-14,November 14,Tuesday,12:01 PM,meh,tired | unsure | bored | anxious | stressed | desperate | bad sleep | drink water | walk | homemade | no meat | no soda | start early | cleaning | exam | group project | heat | manicure | skin care,
